Date,Store,Daily Sales,Industry Average,Global Average
2025-02-01,North,14904,11683.75,11107.4
2025-02-01,South,12063,11683.75,11107.4
2025-02-01,East,8334,11683.75,11107.4
2025-02-01,West,11434,11683.75,11107.4
2025-02-02,North,11497,10856.5,11228.86
2025-02-02,South,9795,10856.5,11228.86
2025-02-02,East,11601,10856.5,11228.86
2025-02-02,West,10533,10856.5,11228.86
2025-02-03,North,9680,11873.0,11817.27
2025-02-03,South,10789,11873.0,11817.27
2025-02-03,East,13072,11873.0,11817.27
2025-02-03,West,13951,11873.0,11817.27
2025-02-04,North,14438,12094.75,11612.06
2025-02-04,South,11437,12094.75,11612.06
2025-02-04,East,10299,12094.75,11612.06
2025-02-04,West,12205,12094.75,11612.06
2025-02-05,North,8298,10077.75,10423.44
2025-02-05,South,12195,10077.75,10423.44
2025-02-05,East,11722,10077.75,10423.44
2025-02-05,West,8096,10077.75,10423.44
2025-02-06,North,13210,12780.5,13053.97
2025-02-06,South,13282,12780.5,13053.97
2025-02-06,East,14037,12780.5,13053.97
2025-02-06,West,10593,12780.5,13053.97
2025-02-07,North,8880,9760.5,10146.6
2025-02-07,South,13172,9760.5,10146.6
2025-02-07,East,8325,9760.5,10146.6
2025-02-07,West,8665,9760.5,10146.6
2025-02-08,North,8178,11441.75,11487.64
2025-02-08,South,13671,11441.75,11487.64
2025-02-08,East,11253,11441.75,11487.64
2025-02-08,West,12665,11441.75,11487.64
2025-02-09,North,14013,12028.0,11712.51
2025-02-09,South,9012,12028.0,11712.51
2025-02-09,East,10298,12028.0,11712.51
2025-02-09,West,14789,12028.0,11712.51
2025-02-10,North,12580,10449.0,10122.21
2025-02-10,South,8418,10449.0,10122.21
2025-02-10,East,9105,10449.0,10122.21
2025-02-10,West,11693,10449.0,10122.21
2025-02-11,North,8458,10068.25,10216.46
2025-02-11,South,11524,10068.25,10216.46
2025-02-11,East,10704,10068.25,10216.46
2025-02-11,West,9587,10068.25,10216.46
2025-02-12,North,10503,11442.25,11563.86
2025-02-12,South,14456,11442.25,11563.86
2025-02-12,East,12563,11442.25,11563.86
2025-02-12,West,8247,11442.25,11563.86
2025-02-13,North,9830,11864.75,12124.27
2025-02-13,South,14820,11864.75,12124.27
2025-02-13,East,9251,11864.75,12124.27
2025-02-13,West,13558,11864.75,12124.27
2025-02-14,North,9876,11514.25,11072.92
2025-02-14,South,12986,11514.25,11072.92
2025-02-14,East,8437,11514.25,11072.92
2025-02-14,West,14758,11514.25,11072.92
2025-02-15,North,12937,12400.0,12067.82
2025-02-15,South,8983,12400.0,12067.82
2025-02-15,East,14358,12400.0,12067.82
2025-02-15,West,13322,12400.0,12067.82
2025-02-16,North,13035,11189.25,11717.53
2025-02-16,South,11329,11189.25,11717.53
2025-02-16,East,11528,11189.25,11717.53
2025-02-16,West,8865,11189.25,11717.53
2025-02-17,North,8020,10732.25,10702.16
2025-02-17,South,11008,10732.25,10702.16
2025-02-17,East,10130,10732.25,10702.16
2025-02-17,West,13771,10732.25,10702.16
2025-02-18,North,13645,12417.25,12549.45
2025-02-18,South,14113,12417.25,12549.45
2025-02-18,East,12514,12417.25,12549.45
2025-02-18,West,9397,12417.25,12549.45
2025-02-19,North,11760,11856.75,11427.58
2025-02-19,South,10447,11856.75,11427.58
2025-02-19,East,11041,11856.75,11427.58
2025-02-19,West,14179,11856.75,11427.58
2025-02-20,North,14374,12517.0,12210.15
2025-02-20,South,13320,12517.0,12210.15
2025-02-20,East,11599,12517.0,12210.15
2025-02-20,West,10775,12517.0,12210.15
2025-02-21,North,10055,11591.75,11192.11
2025-02-21,South,12782,11591.75,11192.11
2025-02-21,East,10766,11591.75,11192.11
2025-02-21,West,12764,11591.75,11192.11
2025-02-22,North,11827,12298.25,12063.99
2025-02-22,South,12751,12298.25,12063.99
2025-02-22,East,14039,12298.25,12063.99
2025-02-22,West,10576,12298.25,12063.99
2025-02-23,North,13921,12175.75,12227.24
2025-02-23,South,13563,12175.75,12227.24
2025-02-23,East,13051,12175.75,12227.24
2025-02-23,West,8168,12175.75,12227.24
2025-02-24,North,8406,11015.0,10899.71
2025-02-24,South,12833,11015.0,10899.71
2025-02-24,East,12265,11015.0,10899.71
2025-02-24,West,10556,11015.0,10899.71
2025-02-25,North,11691,11963.25,12012.77
2025-02-25,South,14413,11963.25,12012.77
2025-02-25,East,11559,11963.25,12012.77
2025-02-25,West,10190,11963.25,12012.77
2025-02-26,North,8677,12932.25,12751.71
2025-02-26,South,14343,12932.25,12751.71
2025-02-26,East,13885,12932.25,12751.71
2025-02-26,West,14824,12932.25,12751.71
2025-02-27,North,11059,11056.5,11219.66
2025-02-27,South,10370,11056.5,11219.66
2025-02-27,East,13992,11056.5,11219.66
2025-02-27,West,8805,11056.5,11219.66
2025-02-28,North,9519,11589.25,11931.76
2025-02-28,South,12158,11589.25,11931.76
2025-02-28,East,12797,11589.25,11931.76
2025-02-28,West,11883,11589.25,11931.76
2025-03-01,North,8552,12040.25,11936.85
2025-03-01,South,12385,12040.25,11936.85
2025-03-01,East,14354,12040.25,11936.85
2025-03-01,West,12870,12040.25,11936.85
2025-03-02,North,8533,12251.75,12748.9
2025-03-02,South,14337,12251.75,12748.9
2025-03-02,East,13636,12251.75,12748.9
2025-03-02,West,12501,12251.75,12748.9
2025-03-03,North,9792,12304.25,12468.64
2025-03-03,South,14736,12304.25,12468.64
2025-03-03,East,14188,12304.25,12468.64
2025-03-03,West,10501,12304.25,12468.64
2025-03-04,North,11368,11930.5,11851.3
2025-03-04,South,11294,11930.5,11851.3
2025-03-04,East,13189,11930.5,11851.3
2025-03-04,West,11871,11930.5,11851.3
2025-03-05,North,14227,12732.75,13192.42
2025-03-05,South,11261,12732.75,13192.42
2025-03-05,East,14604,12732.75,13192.42
2025-03-05,West,10839,12732.75,13192.42
2025-03-06,North,14721,11646.5,11807.61
2025-03-06,South,8151,11646.5,11807.61
2025-03-06,East,12891,11646.5,11807.61
2025-03-06,West,10823,11646.5,11807.61
2025-03-07,North,11677,13087.5,13062.94
2025-03-07,South,14254,13087.5,13062.94
2025-03-07,East,14108,13087.5,13062.94
2025-03-07,West,12311,13087.5,13062.94
2025-03-08,North,10909,12372.25,12295.59
2025-03-08,South,11423,12372.25,12295.59
2025-03-08,East,14590,12372.25,12295.59
2025-03-08,West,12567,12372.25,12295.59
2025-03-09,North,11056,10215.75,10022.3
2025-03-09,South,9600,10215.75,10022.3
2025-03-09,East,8818,10215.75,10022.3
2025-03-09,West,11389,10215.75,10022.3
2025-03-10,North,14693,11592.25,11615.87
2025-03-10,South,12791,11592.25,11615.87
2025-03-10,East,8020,11592.25,11615.87
2025-03-10,West,10865,11592.25,11615.87
2025-03-11,North,12137,11834.75,11253.76
2025-03-11,South,8269,11834.75,11253.76
2025-03-11,East,14194,11834.75,11253.76
2025-03-11,West,12739,11834.75,11253.76
2025-03-12,North,13427,12576.5,13072.68
2025-03-12,South,10210,12576.5,13072.68
2025-03-12,East,14093,12576.5,13072.68
2025-03-12,West,12576,12576.5,13072.68
2025-03-13,North,13112,11067.5,10963.62
2025-03-13,South,11097,11067.5,10963.62
2025-03-13,East,10967,11067.5,10963.62
2025-03-13,West,9094,11067.5,10963.62
2025-03-14,North,8099,10574.5,10236.0
2025-03-14,South,13607,10574.5,10236.0
2025-03-14,East,8085,10574.5,10236.0
2025-03-14,West,12507,10574.5,10236.0
2025-03-15,North,11253,11554.5,11367.14
2025-03-15,South,9997,11554.5,11367.14
2025-03-15,East,14402,11554.5,11367.14
2025-03-15,West,10566,11554.5,11367.14
2025-03-16,North,10364,11927.5,11518.51
2025-03-16,South,13833,11927.5,11518.51
2025-03-16,East,10408,11927.5,11518.51
2025-03-16,West,13105,11927.5,11518.51
2025-03-17,North,10293,10926.0,10970.05
2025-03-17,South,10956,10926.0,10970.05
2025-03-17,East,9649,10926.0,10970.05
2025-03-17,West,12806,10926.0,10970.05
2025-03-18,North,10249,10288.5,10321.61
2025-03-18,South,8214,10288.5,10321.61
2025-03-18,East,13961,10288.5,10321.61
2025-03-18,West,8730,10288.5,10321.61
2025-03-19,North,11087,11640.75,11861.19
2025-03-19,South,13162,11640.75,11861.19
2025-03-19,East,10082,11640.75,11861.19
2025-03-19,West,12232,11640.75,11861.19
2025-03-20,North,11667,10648.25,11165.07
2025-03-20,South,12240,10648.25,11165.07
2025-03-20,East,9281,10648.25,11165.07
2025-03-20,West,9405,10648.25,11165.07
2025-03-21,North,8274,9551.0,9389.8
2025-03-21,South,11275,9551.0,9389.8
2025-03-21,East,8296,9551.0,9389.8
2025-03-21,West,10359,9551.0,9389.8
2025-03-22,North,14073,12202.25,11846.3
2025-03-22,South,11737,12202.25,11846.3
2025-03-22,East,12308,12202.25,11846.3
2025-03-22,West,10691,12202.25,11846.3
2025-03-23,North,13855,11368.5,11342.05
2025-03-23,South,9274,11368.5,11342.05
2025-03-23,East,9276,11368.5,11342.05
2025-03-23,West,13069,11368.5,11342.05
2025-03-24,North,13936,13495.25,13698.26
2025-03-24,South,12692,13495.25,13698.26
2025-03-24,East,12770,13495.25,13698.26
2025-03-24,West,14583,13495.25,13698.26
2025-03-25,North,11394,12091.75,12472.52
2025-03-25,South,13284,12091.75,12472.52
2025-03-25,East,14315,12091.75,12472.52
2025-03-25,West,9374,12091.75,12472.52
2025-03-26,North,14749,10579.5,10070.75
2025-03-26,South,9836,10579.5,10070.75
2025-03-26,East,9443,10579.5,10070.75
2025-03-26,West,8290,10579.5,10070.75
2025-03-27,North,12739,11243.5,10954.25
2025-03-27,South,8638,11243.5,10954.25
2025-03-27,East,9134,11243.5,10954.25
2025-03-27,West,14463,11243.5,10954.25
2025-03-28,North,14800,12361.25,12226.5
2025-03-28,South,9863,12361.25,12226.5
2025-03-28,East,12177,12361.25,12226.5
2025-03-28,West,12605,12361.25,12226.5
2025-03-29,North,9235,10384.75,10658.46
2025-03-29,South,9744,10384.75,10658.46
2025-03-29,East,13332,10384.75,10658.46
2025-03-29,West,9228,10384.75,10658.46
2025-03-30,North,12139,12533.5,13043.88
2025-03-30,South,10724,12533.5,13043.88
2025-03-30,East,14002,12533.5,13043.88
2025-03-30,West,13269,12533.5,13043.88
2025-03-31,North,13741,11225.5,10917.15
2025-03-31,South,8612,11225.5,10917.15
2025-03-31,East,8872,11225.5,10917.15
2025-03-31,West,13677,11225.5,10917.15
2025-04-01,North,14354,11762.5,12333.44
2025-04-01,South,8885,11762.5,12333.44
2025-04-01,East,10097,11762.5,12333.44
2025-04-01,West,13714,11762.5,12333.44
2025-04-02,North,10474,9598.0,9255.3
2025-04-02,South,9150,9598.0,9255.3
2025-04-02,East,9445,9598.0,9255.3
2025-04-02,West,9323,9598.0,9255.3
2025-04-03,North,14808,12750.0,12979.66
2025-04-03,South,10804,12750.0,12979.66
2025-04-03,East,12778,12750.0,12979.66
2025-04-03,West,12610,12750.0,12979.66
2025-04-04,North,13662,13095.5,12692.66
2025-04-04,South,11517,13095.5,12692.66
2025-04-04,East,12303,13095.5,12692.66
2025-04-04,West,14900,13095.5,12692.66
2025-04-05,North,12432,10501.5,10092.8
2025-04-05,South,9375,10501.5,10092.8
2025-04-05,East,11468,10501.5,10092.8
2025-04-05,West,8731,10501.5,10092.8
2025-04-06,North,10044,11036.75,10858.7
2025-04-06,South,13703,11036.75,10858.7
2025-04-06,East,12326,11036.75,10858.7
2025-04-06,West,8074,11036.75,10858.7
2025-04-07,North,12228,13516.0,13618.71
2025-04-07,South,14549,13516.0,13618.71
2025-04-07,East,12513,13516.0,13618.71
2025-04-07,West,14774,13516.0,13618.71
2025-04-08,North,11417,12745.25,13341.25
2025-04-08,South,13248,12745.25,13341.25
2025-04-08,East,12293,12745.25,13341.25
2025-04-08,West,14023,12745.25,13341.25
2025-04-09,North,14099,10483.75,10737.98
2025-04-09,South,9584,10483.75,10737.98
2025-04-09,East,9728,10483.75,10737.98
2025-04-09,West,8524,10483.75,10737.98
2025-04-10,North,9351,10799.75,10952.28
2025-04-10,South,9573,10799.75,10952.28
2025-04-10,East,13263,10799.75,10952.28
2025-04-10,West,11012,10799.75,10952.28
2025-04-11,North,9106,10629.25,10551.88
2025-04-11,South,10174,10629.25,10551.88
2025-04-11,East,12820,10629.25,10551.88
2025-04-11,West,10417,10629.25,10551.88
2025-04-12,North,14367,12247.25,12490.67
2025-04-12,South,11234,12247.25,12490.67
2025-04-12,East,14616,12247.25,12490.67
2025-04-12,West,8772,12247.25,12490.67
2025-04-13,North,11514,10308.0,9853.6
2025-04-13,South,10318,10308.0,9853.6
2025-04-13,East,11065,10308.0,9853.6
2025-04-13,West,8335,10308.0,9853.6
2025-04-14,North,14876,12002.25,11404.83
2025-04-14,South,12891,12002.25,11404.83
2025-04-14,East,8785,12002.25,11404.83
2025-04-14,West,11457,12002.25,11404.83
2025-04-15,North,12666,12377.25,11849.0
2025-04-15,South,12605,12377.25,11849.0
2025-04-15,East,13509,12377.25,11849.0
2025-04-15,West,10729,12377.25,11849.0
2025-04-16,North,12268,12445.5,12628.1
2025-04-16,South,14637,12445.5,12628.1
2025-04-16,East,11342,12445.5,12628.1
2025-04-16,West,11535,12445.5,12628.1
2025-04-17,North,12556,9626.5,9640.72
2025-04-17,South,8856,9626.5,9640.72
2025-04-17,East,8097,9626.5,9640.72
2025-04-17,West,8997,9626.5,9640.72
2025-04-18,North,12707,11719.25,12014.36
2025-04-18,South,10029,11719.25,12014.36
2025-04-18,East,11825,11719.25,12014.36
2025-04-18,West,12316,11719.25,12014.36
2025-04-19,North,11860,11254.5,11244.01
2025-04-19,South,11556,11254.5,11244.01
2025-04-19,East,12044,11254.5,11244.01
2025-04-19,West,9558,11254.5,11244.01
2025-04-20,North,10201,11447.0,10881.13
2025-04-20,South,12320,11447.0,10881.13
2025-04-20,East,11830,11447.0,10881.13
2025-04-20,West,11437,11447.0,10881.13
2025-04-21,North,14041,11377.75,10859.41
2025-04-21,South,11372,11377.75,10859.41
2025-04-21,East,9349,11377.75,10859.41
2025-04-21,West,10749,11377.75,10859.41
2025-04-22,North,14116,11863.5,12105.25
2025-04-22,South,10855,11863.5,12105.25
2025-04-22,East,13955,11863.5,12105.25
2025-04-22,West,8528,11863.5,12105.25
2025-04-23,North,9885,9393.25,9371.62
2025-04-23,South,8565,9393.25,9371.62
2025-04-23,East,10191,9393.25,9371.62
2025-04-23,West,8932,9393.25,9371.62
2025-04-24,North,14546,12084.0,12619.84
2025-04-24,South,8780,12084.0,12619.84
2025-04-24,East,14180,12084.0,12619.84
2025-04-24,West,10830,12084.0,12619.84
2025-04-25,North,14791,13057.5,12594.06
2025-04-25,South,14758,13057.5,12594.06
2025-04-25,East,9300,13057.5,12594.06
2025-04-25,West,13381,13057.5,12594.06
2025-04-26,North,11771,10093.25,10486.41
2025-04-26,South,10031,10093.25,10486.41
2025-04-26,East,8233,10093.25,10486.41
2025-04-26,West,10338,10093.25,10486.41
2025-04-27,North,8871,10106.5,10234.62
2025-04-27,South,12547,10106.5,10234.62
2025-04-27,East,9141,10106.5,10234.62
2025-04-27,West,9867,10106.5,10234.62
2025-04-28,North,10151,12194.75,12552.24
2025-04-28,South,13126,12194.75,12552.24
2025-04-28,East,14590,12194.75,12552.24
2025-04-28,West,10912,12194.75,12552.24
2025-04-29,North,10231,11830.25,11792.89
2025-04-29,South,11794,11830.25,11792.89
2025-04-29,East,14510,11830.25,11792.89
2025-04-29,West,10786,11830.25,11792.89
2025-04-30,North,12623,11826.5,11423.24
2025-04-30,South,10323,11826.5,11423.24
2025-04-30,East,12422,11826.5,11423.24
2025-04-30,West,11938,11826.5,11423.24
2025-05-01,North,10165,10771.75,10734.55
2025-05-01,South,11073,10771.75,10734.55
2025-05-01,East,13051,10771.75,10734.55
2025-05-01,West,8798,10771.75,10734.55
2025-05-02,North,14940,13199.5,12664.78
2025-05-02,South,11994,13199.5,12664.78
2025-05-02,East,13452,13199.5,12664.78
2025-05-02,West,12412,13199.5,12664.78
2025-05-03,North,14103,13003.75,12821.34
2025-05-03,South,13942,13003.75,12821.34
2025-05-03,East,10849,13003.75,12821.34
2025-05-03,West,13121,13003.75,12821.34
2025-05-04,North,13303,11943.5,11891.25
2025-05-04,South,10155,11943.5,11891.25
2025-05-04,East,13807,11943.5,11891.25
2025-05-04,West,10509,11943.5,11891.25
2025-05-05,North,12076,12878.0,12387.93
2025-05-05,South,13262,12878.0,12387.93
2025-05-05,East,11395,12878.0,12387.93
2025-05-05,West,14779,12878.0,12387.93
2025-05-06,North,14136,11826.5,11603.21
2025-05-06,South,8294,11826.5,11603.21
2025-05-06,East,12177,11826.5,11603.21
2025-05-06,West,12699,11826.5,11603.21
2025-05-07,North,9067,10854.5,10341.79
2025-05-07,South,12415,10854.5,10341.79
2025-05-07,East,10459,10854.5,10341.79
2025-05-07,West,11477,10854.5,10341.79
2025-05-08,North,13871,12491.0,12939.69
2025-05-08,South,10469,12491.0,12939.69
2025-05-08,East,11978,12491.0,12939.69
2025-05-08,West,13646,12491.0,12939.69
2025-05-09,North,9960,11948.0,11966.21
2025-05-09,South,13406,11948.0,11966.21
2025-05-09,East,12480,11948.0,11966.21
2025-05-09,West,11946,11948.0,11966.21
2025-05-10,North,10487,10928.25,11474.5
2025-05-10,South,9483,10928.25,11474.5
2025-05-10,East,10677,10928.25,11474.5
2025-05-10,West,13066,10928.25,11474.5
2025-05-11,North,10263,10736.0,10424.1
2025-05-11,South,11435,10736.0,10424.1
2025-05-11,East,12296,10736.0,10424.1
2025-05-11,West,8950,10736.0,10424.1
2025-05-12,North,13192,11068.0,11541.31
2025-05-12,South,13738,11068.0,11541.31
2025-05-12,East,9316,11068.0,11541.31
2025-05-12,West,8026,11068.0,11541.31
2025-05-13,North,9265,12662.0,12842.42
2025-05-13,South,12816,12662.0,12842.42
2025-05-13,East,13914,12662.0,12842.42
2025-05-13,West,14653,12662.0,12842.42
2025-05-14,North,14613,10778.5,10955.51
2025-05-14,South,8764,10778.5,10955.51
2025-05-14,East,9489,10778.5,10955.51
2025-05-14,West,10248,10778.5,10955.51
2025-05-15,North,14180,12503.0,12085.01
2025-05-15,South,9607,12503.0,12085.01
2025-05-15,East,11569,12503.0,12085.01
2025-05-15,West,14656,12503.0,12085.01
2025-05-16,North,12269,11885.25,11886.46
2025-05-16,South,12699,11885.25,11886.46
2025-05-16,East,12136,11885.25,11886.46
2025-05-16,West,10437,11885.25,11886.46
2025-05-17,North,13941,11656.0,11818.89
2025-05-17,South,10810,11656.0,11818.89
2025-05-17,East,10654,11656.0,11818.89
2025-05-17,West,11219,11656.0,11818.89
2025-05-18,North,13909,12935.5,13336.93
2025-05-18,South,10760,12935.5,13336.93
2025-05-18,East,13307,12935.5,13336.93
2025-05-18,West,13766,12935.5,13336.93
2025-05-19,North,11728,12243.5,12170.87
2025-05-19,South,8628,12243.5,12170.87
2025-05-19,East,14518,12243.5,12170.87
2025-05-19,West,14100,12243.5,12170.87
2025-05-20,North,12028,11800.5,11232.43
2025-05-20,South,12718,11800.5,11232.43
2025-05-20,East,13792,11800.5,11232.43
2025-05-20,West,8664,11800.5,11232.43
2025-05-21,North,11922,10042.5,9907.96
2025-05-21,South,8096,10042.5,9907.96
2025-05-21,East,11315,10042.5,9907.96
2025-05-21,West,8837,10042.5,9907.96
2025-05-22,North,10381,9557.25,9181.58
2025-05-22,South,11207,9557.25,9181.58
2025-05-22,East,8010,9557.25,9181.58
2025-05-22,West,8631,9557.25,9181.58
2025-05-23,North,10347,9463.5,9285.93
2025-05-23,South,8838,9463.5,9285.93
2025-05-23,East,10491,9463.5,9285.93
2025-05-23,West,8178,9463.5,9285.93
2025-05-24,North,8912,11336.75,11016.03
2025-05-24,South,11731,11336.75,11016.03
2025-05-24,East,9819,11336.75,11016.03
2025-05-24,West,14885,11336.75,11016.03
2025-05-25,North,9582,11048.25,11423.16
2025-05-25,South,8938,11048.25,11423.16
2025-05-25,East,11622,11048.25,11423.16
2025-05-25,West,14051,11048.25,11423.16
2025-05-26,North,10835,11019.0,10690.42
2025-05-26,South,11402,11019.0,10690.42
2025-05-26,East,11482,11019.0,10690.42
2025-05-26,West,10357,11019.0,10690.42
2025-05-27,North,11180,10855.25,11250.11
2025-05-27,South,13326,10855.25,11250.11
2025-05-27,East,8172,10855.25,11250.11
2025-05-27,West,10743,10855.25,11250.11
2025-05-28,North,14678,10991.75,11077.0
2025-05-28,South,12379,10991.75,11077.0
2025-05-28,East,8459,10991.75,11077.0
2025-05-28,West,8451,10991.75,11077.0
2025-05-29,North,14720,11874.0,11689.46
2025-05-29,South,14108,11874.0,11689.46
2025-05-29,East,8551,11874.0,11689.46
2025-05-29,West,10117,11874.0,11689.46
2025-05-30,North,8033,12367.0,12278.52
2025-05-30,South,14309,12367.0,12278.52
2025-05-30,East,12587,12367.0,12278.52
2025-05-30,West,14539,12367.0,12278.52
2025-05-31,North,9081,10462.25,10429.45
2025-05-31,South,13855,10462.25,10429.45
2025-05-31,East,10240,10462.25,10429.45
2025-05-31,West,8673,10462.25,10429.45
2025-06-01,North,8361,11464.5,11517.46
2025-06-01,South,13172,11464.5,11517.46
2025-06-01,East,11451,11464.5,11517.46
2025-06-01,West,12874,11464.5,11517.46
2025-06-02,North,12291,12163.25,12214.99
2025-06-02,South,13968,12163.25,12214.99
2025-06-02,East,13952,12163.25,12214.99
2025-06-02,West,8442,12163.25,12214.99
2025-06-03,North,8610,10750.25,10704.28
2025-06-03,South,10805,10750.25,10704.28
2025-06-03,East,12594,10750.25,10704.28
2025-06-03,West,10992,10750.25,10704.28
2025-06-04,North,13075,11396.25,11644.6
2025-06-04,South,9133,11396.25,11644.6
2025-06-04,East,12155,11396.25,11644.6
2025-06-04,West,11222,11396.25,11644.6
2025-06-05,North,11245,12555.0,12947.93
2025-06-05,South,14444,12555.0,12947.93
2025-06-05,East,11971,12555.0,12947.93
2025-06-05,West,12560,12555.0,12947.93
2025-06-06,North,13749,11792.25,12315.52
2025-06-06,South,9195,11792.25,12315.52
2025-06-06,East,9272,11792.25,12315.52
2025-06-06,West,14953,11792.25,12315.52
2025-06-07,North,14849,12815.75,13386.15
2025-06-07,South,13311,12815.75,13386.15
2025-06-07,East,13536,12815.75,13386.15
2025-06-07,West,9567,12815.75,13386.15
2025-06-08,North,13221,11417.5,11123.8
2025-06-08,South,14925,11417.5,11123.8
