Store,Date,DailySales,Industry Average,Global Average,Units Sold,Average Basket Size,Number of Transactions,Foot Traffic,Conversion Rate (%),Gross Margin (%),Net Profit,Inventory Available,Stockout Flag,Customer Satisfaction Score,Promotion Active
Central,07-02-2025,230309.3,225425.1,216520.4,781,3.63,215,564.3222578,38.09879852,53,122063.93,293,No,3,Yes
Central,08-02-2025,270556.92,274376.54,257263.59,655,3.1,211,405.1544415,52.07890582,29,78461.51,730,No,2,Yes
Central,09-02-2025,319653.59,291698.21,285828.33,501,1.73,289,665.6108682,43.4187622,35.28,112773.79,861,No,1,No
Central,10-02-2025,268574.99,287860.52,273362.98,473,2.65,178,359.6779226,49.48872,58.08,155988.35,923,No,1,No
Central,11-02-2025,252034.47,251636.32,238916.69,440,3.93,111,287.3289151,38.63168451,39.52,99604.02,1320,No,1,Yes
Central,12-02-2025,151594.51,162504.81,177574.23,377,2.05,183,702.8189291,26.03800103,26.21,39732.92,1017,No,4,Yes
Central,13-02-2025,286610.92,314267.83,340218.12,318,4.81,66,465.1007619,14.19047342,33.44,95842.69,1613,No,4,No
Central,14-02-2025,136050.84,128253.8,137082.95,270,3.99,67,297.6644876,22.50856343,27.09,36856.17,974,No,1,No
Central,15-02-2025,133372.84,137248.58,148732.49,464,3.99,116,388.6175255,29.84940009,45.68,60924.71,1805,No,4,No
Central,16-02-2025,202706.4,202412.28,213044.58,551,1.61,342,608.7652195,56.1792936,23.53,47696.82,1949,No,4,No
Central,17-02-2025,165549.56,171640.1,170889.67,551,3.65,150,302.8322739,49.53236922,51.54,85324.24,89,No,5,No
Central,18-02-2025,226279.62,219394.57,201665.89,653,1.65,395,825.8122417,47.83169588,48.63,110039.78,987,No,3,No
Central,19-02-2025,239299.69,243353.77,225037.41,835,3.97,210,540.5504411,38.84928844,58.15,139152.77,1489,No,3,Yes
Central,20-02-2025,180046.88,169441.49,169025.14,260,3.44,75,360.7114798,20.79224095,40.15,72288.82,723,No,2,Yes
Central,21-02-2025,168451.55,166285.59,161897.74,550,3.48,158,590.161189,26.77234677,46.94,79071.16,1987,No,2,Yes
Central,22-02-2025,113740.25,114624.99,112114.78,139,2.58,53,231.5168237,22.89250481,21.04,23930.95,764,No,5,Yes
Central,23-02-2025,227812.44,214488.97,230891.55,324,2.99,108,245.9866252,43.90482609,53.33,121492.37,1050,No,4,No
Central,24-02-2025,292439.3,289638.86,263219.79,806,1.58,510,895.0605774,56.97938362,50.37,147301.68,1821,No,4,Yes
Central,25-02-2025,191500.14,172779.04,170587.62,810,3.79,213,598.429647,35.59315637,58.57,112161.63,29,No,4,Yes
Central,26-02-2025,251856.14,267291.82,266673.93,170,2.34,72,310.0671746,23.22077469,35.17,88577.8,433,No,3,Yes
Central,27-02-2025,262686.88,273939.83,258645.09,845,2.22,380,830.980028,45.72913755,30.58,80329.65,625,No,2,No
Central,28-02-2025,267648.71,260338.79,268853.41,332,3.58,92,425.8255865,21.60508972,46.98,125741.36,1120,No,3,No
Central,01-03-2025,174224.31,164513.14,173266.24,537,1.64,327,790.6712953,41.35726211,40.08,69829.1,1053,No,1,Yes
Central,02-03-2025,198188.83,209888.88,217223.09,614,1.94,316,450.6309604,70.1238991,47.03,93208.21,1378,No,2,No
Central,03-03-2025,200285.04,196229.9,207483.47,555,4.08,136,411.355785,33.0614045,28.13,56340.18,1821,No,1,Yes
Central,04-03-2025,255499.14,278003.03,290684.8,881,4.13,213,422.7249147,50.38737784,30.28,77365.14,435,No,2,No
Central,05-03-2025,133640.04,134081.89,133903.55,450,3.67,122,301.7987166,40.42429384,34.74,46426.55,1173,No,2,Yes
Central,06-03-2025,184443.32,168390.04,162153.49,239,3.27,73,481.6376779,15.15662153,44.33,81763.72,1591,No,2,No
Central,07-03-2025,242748.47,241555.54,235147.58,994,3.97,250,671.8122117,37.21277995,37.29,90520.9,511,No,5,Yes
Central,08-03-2025,166183.89,154698,159221.67,826,3.36,245,559.1544716,43.8161568,37.57,62435.29,407,No,1,No
Central,09-03-2025,202306.32,195328.27,187079.04,657,2.32,283,784.4699518,36.07531421,53.37,107970.88,1370,No,4,No
Central,10-03-2025,211488.16,207835.22,207608.89,116,1.76,65,558.1209143,11.64622187,56.23,118919.79,456,No,4,No
Central,11-03-2025,218214.89,220570.26,231691.66,466,2.8,166,684.2148986,24.26138342,22.85,49862.1,1335,No,5,Yes
Central,12-03-2025,276969.57,283329.67,303352.23,274,4.98,55,318.3356326,17.27736212,20.11,55698.58,1777,No,2,Yes
Central,13-03-2025,182532.93,189195.09,190283.86,121,2.52,48,376.2148385,12.75866741,20.02,36543.09,1521,No,4,Yes
Central,14-03-2025,235957.18,229799.25,224823.26,422,2.74,154,313.1678464,49.17490789,23.21,54765.66,1337,No,3,No
Central,15-03-2025,238237.88,228751.57,218384.72,334,4.98,67,180.8725185,37.04266438,51.09,121715.73,1911,No,3,Yes
Central,16-03-2025,213510.76,210605.77,196224.93,895,3.71,241,640.8054942,37.60891599,41.28,88137.24,550,No,4,Yes
Central,17-03-2025,131341.69,127427.14,138006.11,640,1.94,329,633.5705935,51.92791512,35.48,46600.03,14,No,5,Yes
Central,18-03-2025,216595.71,201460.05,190298.36,580,1.78,325,675.9464407,48.0807325,56.75,122918.07,342,No,2,Yes
Central,19-03-2025,129956.87,142009.69,133649.61,657,4.23,155,341.0738921,45.44469794,22.15,28785.45,250,No,1,Yes
Central,20-03-2025,219166.07,234815.23,244505.71,332,3.09,107,501.2752656,21.34555749,31.34,68686.65,822,No,5,Yes
Central,21-03-2025,139107.76,126440.24,119411.8,793,3.25,244,679.0471124,35.93270563,37.94,52777.48,1590,No,4,No
Central,22-03-2025,151778.77,157950.46,161073.12,463,2.38,194,510.5772809,37.9962069,38.45,58358.94,1622,No,4,Yes
Central,23-03-2025,199659.36,190848.23,187156.74,333,4.34,76,391.7181973,19.40170269,55.78,111369.99,856,No,1,Yes
Central,24-03-2025,151776.69,163945.89,179031.24,350,2.53,138,349.3423501,39.50279718,33.48,50814.84,627,No,3,Yes
Central,25-03-2025,144535.65,139607.42,150713.69,202,2.05,98,423.758472,23.1263813,52.47,75837.86,1679,No,4,Yes
Central,26-03-2025,192887.85,192377.46,188160.96,548,4.8,114,404.1208842,28.20938102,41.86,80742.85,1554,No,4,No
Central,27-03-2025,212237.98,229961.86,245359.24,222,2.79,79,399.9866552,19.75065892,34.89,74049.83,1438,No,4,Yes
Central,28-03-2025,159577.85,168427.96,155499.16,721,1.57,459,717.2887306,63.99096771,20.94,33415.6,473,No,4,Yes
Central,29-03-2025,206251.19,189601.5,177723.4,157,2.6,60,394.818869,15.19684207,37.23,76787.32,1047,No,1,Yes
Central,30-03-2025,258454.03,247792.56,253569.65,167,2.73,61,522.9799678,11.66392668,34.12,88184.52,1514,No,3,Yes
Central,31-03-2025,192388.78,193975.7,196639.59,624,4.38,142,447.5302887,31.72969598,41.86,80533.94,1394,No,2,Yes
Northeast,01-01-2025,281144.61,269399.17,245190.46,493,2.51,196,707.9867154,27.68413527,39.16,110096.23,1796,No,5,No
Northeast,02-01-2025,210314.63,193953.4,201569.93,359,2.22,161,627.36925,25.66271777,59.6,125347.52,166,No,5,Yes
Northeast,03-01-2025,214968.27,204715.28,201134.66,511,2.79,183,576.7249448,31.73089731,53.88,115824.9,1672,No,4,Yes
Northeast,04-01-2025,173624.29,177247.24,176127.47,253,3.86,65,224.281923,28.98138162,44.82,77818.41,349,No,2,Yes
Northeast,05-01-2025,123877.5,131035.24,130629.28,809,3,269,705.9196009,38.10632254,49.51,61331.75,1331,No,1,No
Northeast,06-01-2025,250033.03,242345.66,221251.79,364,4.1,88,579.8256165,15.17697692,45.03,112589.87,271,No,5,No
Northeast,07-01-2025,167803.87,155647.26,161985.72,450,3.16,142,551.9195708,25.72838644,55.01,92308.91,1261,No,4,No
Northeast,08-01-2025,197291.9,197503.2,190148.02,919,4.33,212,421.6913575,50.27373605,53.51,105570.9,449,No,1,No
Northeast,09-01-2025,190245.07,175620.55,189775.96,856,4.79,178,288.3624724,61.72786581,33.78,64264.78,1994,No,1,No
Northeast,10-01-2025,218556.63,233576.27,249270.95,112,3.39,33,191.208091,17.25868389,41.64,91006.98,1951,No,2,Yes
Northeast,11-01-2025,96533.25,90613.85,83280.59,966,4.92,196,314.2014036,62.3803706,35.69,34452.72,1758,No,1,No
Northeast,12-01-2025,223428.36,219034.03,231015.18,269,2.46,109,628.4028072,17.34556223,31.65,70715.08,973,No,3,No
Northeast,13-01-2025,189590.27,174289.29,171155.37,832,3.29,252,666.6444254,37.80126112,55.24,104729.67,1876,No,2,No
Northeast,14-01-2025,174825.06,159116.4,173483.23,930,3.1,300,740.0269901,40.53906196,34.22,59825.14,1701,No,2,No
Northeast,15-01-2025,217351.82,208417.27,211816.89,849,3.9,217,620.1343492,34.99241741,26.16,56859.24,1637,No,2,Yes
Northeast,16-01-2025,176586.35,160307.23,148155.12,620,3.84,161,623.235021,25.83295139,23.62,41709.7,659,No,2,No
Northeast,17-01-2025,203082.92,220231.91,241243.01,797,4.99,159,269.7584419,58.94162158,49.03,99571.56,1490,No,2,Yes
Northeast,18-01-2025,234586.88,211405.14,222484.36,529,2.19,241,682.1477841,35.32958775,25.46,59725.82,1786,No,1,No
Northeast,19-01-2025,138003.27,128430.79,118529.51,952,4.32,220,451.6645177,48.70871884,40.14,55394.51,726,No,3,Yes
Northeast,20-01-2025,290820.96,295977.49,268398.32,823,4.4,187,589.1276318,31.74184844,38.77,112751.29,954,No,1,Yes
Northeast,21-01-2025,94599.51,102152.62,105982.02,990,4.98,198,437.1947162,45.28874496,38.74,36647.85,523,No,2,Yes
Northeast,22-01-2025,171358.49,163814.35,149863.08,736,1.6,460,786.5370663,58.48421133,37.64,64499.34,10,No,5,No
Northeast,23-01-2025,271924.79,281451.19,308589.86,214,2.57,83,204.6443352,40.55817128,42.4,115296.11,1092,No,5,Yes
Northeast,24-01-2025,179995.4,182369.06,191358.13,922,4.47,206,671.8122117,30.66333068,42.18,75922.06,1368,No,3,Yes
Northeast,25-01-2025,200300.41,193225.82,196376.87,238,2.03,117,380.3490675,30.76121647,47.84,95823.72,1317,No,2,Yes
Northeast,26-01-2025,202466.51,218914.88,240278.56,548,3.75,146,583.9598455,25.00171906,50.53,102306.33,70,No,2,No
Northeast,27-01-2025,189693.02,190876.6,177331.34,841,4.48,187,409.2886705,45.68902427,25.04,47499.13,30,No,2,No
Northeast,28-01-2025,234940.8,232091.92,240381.72,131,1.63,80,359.6779226,22.24212135,49.63,116601.12,1675,No,2,Yes
Northeast,29-01-2025,203716,220766.8,226638.52,795,3.81,208,612.8994485,33.93705126,56.56,115221.77,1586,No,5,Yes
Northeast,30-01-2025,276604.82,276127.14,283998.25,177,2.08,85,377.2483958,22.53157361,40.96,113297.33,1911,No,2,Yes
Northeast,31-01-2025,204214.65,218487.81,213386.94,813,4.11,197,396.8859835,49.63642159,21.33,43558.98,1438,No,3,No
Northeast,01-02-2025,189061.32,190913.28,204732.96,330,1.85,178,449.5974032,39.590976,51.63,97612.36,502,No,2,No
Northeast,02-02-2025,240595.63,235760.41,232774.48,816,1.73,471,877.4901042,53.67581899,32.15,77351.5,1349,No,4,Yes
Northeast,03-02-2025,164596.91,151027.52,153897.48,440,1.79,245,744.1612191,32.92297337,57.31,94330.49,558,No,4,Yes
Northeast,04-02-2025,189656.97,181553.71,174687.68,487,2.34,208,479.5705634,43.37213663,31.13,59040.21,835,No,4,No
Northeast,05-02-2025,174496.55,181434.9,173060.23,952,4.51,211,489.9061359,43.06947485,44.21,77144.92,1759,No,4,Yes
Northeast,06-02-2025,232673.04,222513.68,232773.94,195,4.3,45,379.3155103,11.86347481,22.21,51676.68,1674,No,3,Yes
Northeast,07-02-2025,227578.52,219361.94,237515.95,168,2.3,73,181.9060758,40.1306002,51.31,116770.54,674,No,1,Yes
Northeast,08-02-2025,302594.09,289197.88,287439.06,907,4.59,197,381.3826248,51.6541623,27.89,84393.49,497,No,3,No
Northeast,09-02-2025,143975.36,132390.8,131145.74,463,3.87,119,428.9262582,27.74369667,44.79,64486.56,1062,No,2,Yes
Northeast,10-02-2025,198978.54,198584.43,179162.82,721,2.49,289,716.2551734,40.34874871,54.16,107766.78,570,No,4,Yes
Northeast,11-02-2025,187787.42,190261.29,187926.02,538,4.68,114,579.8256165,19.66108374,25.38,47660.45,872,No,4,No
Northeast,12-02-2025,281183.14,263221.57,243874.55,719,3.19,225,360.7114798,62.37672284,26.85,75497.67,137,No,3,Yes
Northeast,13-02-2025,220317.83,203124.94,214417.06,135,3.34,40,378.281953,10.57412326,55.9,123157.67,1969,No,1,No
Northeast,14-02-2025,189623.77,176577.61,171110.48,333,2.38,139,494.0403649,28.13535287,29.5,55939.01,240,No,1,No
Northeast,15-02-2025,204563.33,221821.97,233675.08,734,2.17,338,528.1477541,63.9972427,54.57,111630.21,1702,No,5,Yes
Northeast,16-02-2025,184464.68,196859.46,209960.1,674,4.26,158,287.3289151,54.98924462,26.99,49787.02,1599,No,1,Yes
Northeast,17-02-2025,123501.78,115498.19,113205.59,735,2.44,301,444.4296169,67.72725951,29.12,35963.72,697,No,1,No
Northeast,18-02-2025,232773.44,213654.38,225294.38,811,2.44,332,472.3356627,70.28899705,21.63,50348.9,575,No,1,No
Northeast,19-02-2025,183570.14,179644.92,172527.67,617,3.93,156,563.2887005,27.69450192,49.69,91216,1483,No,3,No
Northeast,20-02-2025,106509.12,100262.11,95854.55,304,4.52,67,192.2416483,34.85196918,34.26,36490.02,1624,No,2,Yes
Northeast,21-02-2025,136017.74,137797.86,124179.99,792,2.78,284,493.0068076,57.60569542,49.65,67532.81,519,No,4,No
Northeast,22-02-2025,185647.81,177541.76,165164.78,857,4.65,184,437.1947162,42.08651047,30.03,55750.04,1650,No,4,No
Northeast,23-02-2025,144821.36,135734.95,131789.23,306,2.34,130,253.2215259,51.33844744,34.44,49876.48,844,No,3,No
Northeast,24-02-2025,209317.87,219634.17,201613.37,826,4.44,186,605.6645477,30.71006891,45.17,94548.88,247,No,5,Yes
Northeast,25-02-2025,202060.73,183060.83,174870.59,708,4.16,170,440.2953879,38.61044305,45.98,92907.52,1420,No,3,Yes
Northeast,26-02-2025,136393.83,127716.27,139929.4,650,1.59,408,703.8524864,57.96669159,56.14,76571.5,368,No,2,No
Northeast,27-02-2025,250209.73,253768.87,264721.35,138,4.87,28,190.1745338,14.72331728,39.2,98082.21,1670,No,4,Yes
Northeast,28-02-2025,224894.69,235380.34,230778.24,792,3.85,205,590.161189,34.7362727,53.45,120206.21,1670,No,1,Yes
Northeast,01-03-2025,157376.37,168666.96,156626.98,530,2.89,183,508.5101664,35.9874811,56.86,89484.2,1923,No,3,Yes
Northeast,02-03-2025,166793.09,169525.08,176408.62,652,3.98,163,411.355785,39.62506569,26.79,44683.87,367,No,2,No
Northeast,03-03-2025,231040.46,224459.99,232339.49,937,4.99,187,449.5974032,41.59276692,54.76,126517.76,1010,No,1,Yes
Northeast,04-03-2025,156158.92,161234.08,157169.81,736,2.52,292,521.9464106,55.94444067,49.43,77189.35,706,No,1,No
Northeast,05-03-2025,342663.14,320343.79,338581.77,555,2.65,209,489.9061359,42.66123339,38.24,131034.38,1123,No,5,No
Northeast,06-03-2025,88456.16,89097.61,95646.78,305,2.96,103,270.7919992,38.03657431,44.36,39239.15,761,No,3,No
Northeast,07-03-2025,251640.63,270248.61,257881.61,823,2.61,315,750.3625626,41.97970631,31.07,78184.74,452,No,3,No
Northeast,08-03-2025,227127.5,209309.25,226863.05,155,1.83,84,450.6309604,18.64053014,40.75,92554.46,1443,No,3,Yes
Northeast,09-03-2025,177095.11,174198.59,185102.13,158,3.87,40,382.416182,10.45980842,24.87,44043.55,167,No,3,No
Northeast,10-03-2025,150866.36,136787.33,146263.19,581,4.41,131,562.2551433,23.29903098,50.83,76685.37,127,No,2,Yes
Northeast,11-03-2025,263681.97,265369.52,287068.3,640,4.2,152,409.2886705,37.13760262,41.18,108584.24,1888,No,4,No
Northeast,12-03-2025,155862.26,171281.66,162756.89,491,4.01,122,229.4497092,53.17069279,53.47,83339.55,434,No,3,Yes
Northeast,13-03-2025,221764.92,221388.74,211267.72,372,4.52,82,386.550411,21.21327456,31.48,69811.6,1357,No,1,No
Northeast,14-03-2025,130924.1,130027.41,137510.3,545,2.63,207,473.3692199,43.72907897,42.53,55682.02,327,No,4,No
Northeast,15-03-2025,205110.07,221971.44,206214.78,359,3.39,105,566.3893723,18.53848344,48.86,100216.78,576,No,2,No
Northeast,16-03-2025,199632.91,197187.66,193806.9,188,4.2,44,232.550381,18.92063123,20.33,40585.37,1573,No,2,No
Northeast,17-03-2025,281250.21,259282.65,281773.43,682,4.55,149,537.4497693,27.72352106,36.93,103865.7,1022,No,4,No
Northeast,18-03-2025,111794.88,111279.9,119233.9,808,4.91,164,456.8323039,35.89938772,47.25,52823.08,1593,No,4,Yes
Northeast,19-03-2025,226769.72,227334.33,240464.86,815,2.08,391,627.36925,62.32374316,48.17,109234.97,353,No,2,No
Northeast,20-03-2025,182263.77,169514.93,182646.73,837,1.67,501,1014.953218,49.36188102,35.8,65250.43,1325,No,2,No
Northeast,21-03-2025,203066.75,195257.92,184753.51,223,2.42,92,484.7383496,18.97931122,35,71073.36,639,No,5,Yes
Northeast,22-03-2025,177718.37,176473.48,181422.68,742,3.02,245,717.2887306,34.15639889,49.95,88770.33,1354,No,3,Yes
Northeast,23-03-2025,138548.27,130477.12,135410.69,744,1.52,489,999.4498595,48.92691668,21.7,30064.97,1967,No,5,Yes
Northeast,24-03-2025,150738.06,162255.8,153092.87,803,2.62,306,607.7316622,50.35116961,26.22,39523.52,1913,No,4,No
Northeast,25-03-2025,236974.56,236890.18,256171.34,694,1.97,352,875.4229897,40.20913366,43.16,102278.22,83,No,2,No
Northeast,26-03-2025,299223.38,325574.31,296982.31,711,2.28,311,768.966593,40.44388961,23.61,70646.64,862,No,3,Yes
Northeast,27-03-2025,284612.24,281479.32,263783.42,419,4.37,95,509.5437236,18.64413113,57.41,163395.89,1895,No,5,Yes
Northeast,28-03-2025,293751.74,321142.28,328115.3,283,2.06,137,504.3759374,27.16227914,47.58,139767.08,946,No,3,Yes
Northeast,29-03-2025,148362.12,156710.64,160216.11,497,3.05,162,363.8121515,44.52847419,38.12,56555.64,988,No,4,Yes
Northeast,30-03-2025,153263.71,165125.83,171274.8,933,3.67,254,546.7517846,46.45618125,38.28,58669.35,1330,No,3,No
Northeast,31-03-2025,253794.8,235606.3,257729.16,590,4.47,131,483.7047924,27.0826343,32.21,81747.31,448,No,2,Yes
Southwest,01-01-2025,290525.41,306375.89,293381.8,984,2.99,329,667.6779827,49.27525073,22.76,66123.58,1096,No,4,Yes
Southwest,02-01-2025,165380.99,157031.09,144605.17,380,4.09,92,325.5705333,28.2580856,37.64,62249.4,1324,No,4,Yes
Southwest,03-01-2025,304204.85,280756.82,270093.86,423,2.21,191,655.2752957,29.14805445,33.65,102364.93,400,No,1,No
Southwest,04-01-2025,171135.22,174709.35,191042.63,440,1.52,289,807.2082112,35.80241082,43.7,74786.09,1894,No,2,Yes
Southwest,05-01-2025,220978.57,201341.65,200119.74,632,2.3,274,537.4497693,50.98150853,24.75,54692.2,1319,No,2,Yes
Southwest,06-01-2025,187987.96,169970.72,185460.06,662,4.31,153,297.6644876,51.40015231,47.61,89501.07,1416,No,3,Yes
Southwest,07-01-2025,173198.83,161142.06,167091.32,153,1.62,94,244.9530679,38.37469797,53.32,92349.62,1775,No,1,Yes
Southwest,08-01-2025,278745.63,304694.62,311028.87,847,2.87,295,791.7048525,37.2613606,27.06,75428.57,1532,No,4,Yes
Southwest,09-01-2025,239292.13,261421.6,248642.7,908,4.52,200,462.0000902,43.29003484,36.73,87892,1826,No,4,No
Southwest,10-01-2025,280606.87,279033.68,299431.54,920,1.89,486,885.7585621,54.86822491,31.04,87100.37,686,No,4,Yes
Southwest,11-01-2025,235366.81,218464.2,228883.34,987,2.03,486,637.7048225,76.21080834,31.05,73081.39,1838,No,3,No
Southwest,12-01-2025,173609.24,173855.99,183446.85,315,4.72,66,366.9128233,17.98792405,26.87,46648.8,1454,No,5,Yes
Southwest,13-01-2025,156433.26,168425.95,175308.33,274,1.86,147,613.9330057,23.94398063,23.43,36652.31,1495,No,1,Yes
Southwest,14-01-2025,216491.71,216281.49,202883.65,674,3,224,564.3222578,39.69363195,51.55,111601.48,746,No,5,No
Southwest,15-01-2025,282368.93,276262.74,292796.92,390,1.55,251,555.0202426,45.22357578,53.47,150982.67,257,No,2,Yes
Southwest,16-01-2025,210012.38,222322.49,218660.22,134,4.66,28,456.8323039,6.129163756,39.26,82450.86,271,No,4,Yes
Southwest,17-01-2025,217071.79,215500.19,235287.56,111,4.97,22,512.6443954,4.291473817,53.5,116133.41,92,No,3,No
Southwest,18-01-2025,245387.22,252990.8,239490.53,437,4.45,98,471.3021054,20.79345687,47.17,115749.15,1712,No,5,Yes
Southwest,19-01-2025,179154.02,189395.39,196937.74,437,4.32,101,388.6175255,25.98956387,28.75,51506.78,1098,No,2,No
Southwest,20-01-2025,184517.54,192105.78,187053.48,638,1.76,362,587.0605173,61.66314875,45.07,83162.06,807,No,3,Yes
Southwest,21-01-2025,158837.83,159869.28,151173.14,162,1.66,97,316.2685181,30.67014086,29.56,46952.46,1851,No,4,Yes
Southwest,22-01-2025,199046.26,214086.45,220654.07,588,2.27,259,599.4632043,43.20532072,58.98,117397.48,470,No,5,No
Southwest,23-01-2025,203768.47,190157.13,176014.47,323,1.58,204,411.355785,49.59210675,26.95,54915.6,1981,No,4,No
Southwest,24-01-2025,190624.62,199775,188571.59,926,3.23,286,707.9867154,40.39623821,58.89,112258.84,990,No,3,Yes
Southwest,25-01-2025,190624.72,188151.23,178972.53,659,3.5,188,456.8323039,41.15295665,39.89,76040.2,1668,No,5,Yes
Southwest,26-01-2025,185969.8,202166.77,197181.25,651,2.04,319,728.6578603,43.77912013,51.7,96146.39,664,No,4,Yes
Southwest,27-01-2025,201817.56,192976.45,191625.53,448,3.17,141,281.1275716,50.15516592,57.87,116791.82,976,No,4,Yes
Southwest,28-01-2025,187798.86,202329.87,200049.84,296,2.99,98,310.0671746,31.60605444,37.82,71025.53,1994,No,2,No
Southwest,29-01-2025,210610.09,198915.39,204929.02,505,2.9,174,382.416182,45.50016662,43.66,91952.37,1124,No,1,No
Southwest,30-01-2025,97751.03,92665.24,85978.88,521,4.13,126,515.7450671,24.43067477,58.56,57243,249,No,2,No
Southwest,31-01-2025,218614.34,210506.87,189617.8,617,4.81,128,294.5638159,43.45408129,22.84,49931.52,689,No,1,Yes
Southwest,01-02-2025,250706.22,269417.2,284162.58,766,3.39,225,678.0135552,33.18517724,28.83,72278.6,23,No,3,Yes
Southwest,02-02-2025,189037.11,177277.18,185784.71,498,1.82,273,621.1679065,43.94946956,24.99,47240.37,492,No,3,Yes
